decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,action_space,qrtm_n_clauses,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,500,1,200,2,40000,20000,2.75,0,0.0,20201021_190219,8,True,False,U
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,300,1,200,2,4000,2000,2.75,0,0.0,20201021_235419,16,True,False,U
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,300,1,200,2,4000,2000,2.75,0,0.0,20201022_190940,16,True,True,U
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,300,1,200,2,4000,2000,2.75,0,0.0,20201025_084733,8,True,True,U
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,2.75,0,0.0,20201025_093327,8,True,True,U
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,2.75,0,0.0,20201025_181137,8,True,False,U
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,500,1,200,2,40000,20000,2.75,0,0.0,20201027_123308,4,True,False,U
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,500,1,200,2,40000,20000,2.75,0,0.0,20201027_154757,8,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,50,300,1,200,2,400,200,2.75,0,0.0,20201103_132935,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,50,300,1,200,2,400,200,2.75,0,0.0,20201103_135114,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,4000,2000,2.75,0,0.0,20201105_112416,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,2.75,0,0.0,20201105_124319,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,2000,0,0.0,20201110_121039,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,1,0,0.0,20201112_152307,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,200,0,0.0,20201113_135659,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,1,0,0.0,20201113_175311,16,True,True,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,0.01,0,0.0,20201114_142233,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,1000,1,200,2,40000,20000,0.01,0,0.0,20201115_110227,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,1000,25,300,1,200,2,40000,20000,0.01,0,0.0,20201116_081743,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,100000,25,300,1,200,2,40000,20000,0.01,0,0.0,20201117_120117,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,100000,50,300,1,200,2,40000,20000,0.01,0,0.0,20201119_104851,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,100000,20,300,1,200,2,40000,20000,0.01,0,0.0,20201119_175248,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,0.001,0,0.0,20201120_105448,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,0.0001,0,0.0,20201122_115959,32,True,True,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,1e-05,0,0.0,20201123_083131,32,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,1e-05,0,0.0,20201124_115003,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,40000,20000,1e-05,0,0.0,20201124_144210,64,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,300,1,200,2,400,200,1e-05,0,0.0,20201126_150626,64,True,False,U
EDF,0.1,0.5,0.99,0,0,0,1,10000,25,300,1,200,2,400,200,1e-05,0,0.0,20201126_151140,64,True,False,U
